title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
John Wick: Bölüm 4,22/03/2023 (TR),77,Chad Stahelski,Shay Hatten,"Aksiyon,Gerilim,Suç",2h 50m,İngilizce,"$90,000,000.00","$440,157,245.00"
,11/10/1996 (TR),79,Joel Coen,,"Suç,Dram,Gerilim",1h 38m,İngilizce,"$7,000,000.00","$60,611,975.00"
Kardaki İzler,04/08/2017 (US),74,Taylor Sheridan,Taylor Sheridan,"Suç,Dram,Gizem,Gerilim",1h 47m,İngilizce,"$11,000,000.00","$44,998,252.00"
Kızıl Serçe,02/03/2018 (TR),65,Francis Lawrence,,"Gerilim,Gizem",2h 20m,İngilizce,"$69,000,000.00","$151,572,634.00"
Sayen: The Huntress,26/04/2024 (ES),65,Alexander Witt,Patricio Lynch,"Aksiyon,Gerilim",1h 28m,İspanyolca; Kastilyaca,-,-
Predators,03/09/2010 (TR),63,Nimród Antal,Alex Litvak,"Bilim-Kurgu,Aksiyon,Gerilim",1h 47m,İngilizce,"$40,000,000.00","$127,200,000.00"
Güçlüler Bölgesi,23/01/1998 (TR),68,James Mangold,James Mangold,"Suç,Dram,Gizem",1h 44m,İngilizce,"$15,000,000.00","$44,862,187.00"
Kayıp Balık Nemo,23/01/2004 (TR),78,Andrew Stanton,,"Animasyon,Aile",1h 40m,İngilizce,"$94,000,000.00","$940,335,536.00"
,28/07/2017 (US),73,Kathryn Bigelow,,"Suç,Dram,Gerilim,Tarih",2h 23m,İngilizce,"$34,000,000.00","$23,400,000.00"
,31/05/2019 (TR),67,Michael Dougherty,,"Bilim-Kurgu,Aksiyon",2h 12m,İngilizce,"$170,000,000.00","$386,600,138.00"
,12/06/2009 (TR),63,Catherine Hardwicke,,"Fantastik,Dram,Romantik",2h 1m,İngilizce,"$37,000,000.00","$393,616,788.00"
,11/08/2023 (US),79,Neill Blomkamp,,"Macera,Aksiyon,Dram",2h 15m,İngilizce,"$60,000,000.00","$121,700,000.00"
Av 2,05/07/1991 (TR),63,Stephen Hopkins,Jim Thomas,"Bilim-Kurgu,Aksiyon,Gerilim",1h 48m,İngilizce,"$35,000,000.00","$57,120,318.00"
Sessiz Bir Yer,13/04/2018 (TR),74,John Krasinski,,"Korku,Dram,Bilim-Kurgu",1h 30m,İngilizce,"$17,000,000.00","$341,000,000.00"
Coco,19/01/2018 (TR),82,Lee Unkrich,,"Aile,Animasyon,Müzik,Macera",1h 45m,İngilizce,"$175,000,000.00","$800,500,000.00"
,13/08/2021 (US),75,Shawn Levy,,"Komedi,Macera,Bilim-Kurgu",1h 55m,İngilizce,"$110,000,000.00","$331,500,000.00"
Crooklyn,13/05/1994 (US),68,Spike Lee,,"Komedi,Dram",1h 55m,İngilizce,"$14,000,000.00",-
Galaksinin Koruyucuları 3,05/05/2023 (TR),80,James Gunn,James Gunn,"Bilim-Kurgu,Macera,Aksiyon,Komedi",2h 30m,İngilizce,"$250,000,000.00","$845,600,000.00"
Ricky Stanicky,07/03/2024 (TR),65,Peter Farrelly,,Komedi,1h 53m,İngilizce,-,-
,03/12/1983 (TR),77,John Landis,John Landis,"Müzik,Komedi,Aksiyon,Suç",2h 13m,İngilizce,"$27,000,000.00","$115,200,000.00"
Kara Şövalye Batman Başlıyor,17/06/2005 (TR),77,Christopher Nolan,,"Aksiyon,Suç,Dram",2h 20m,İngilizce,"$150,000,000.00","$374,218,673.00"
,02/05/2008 (TR),76,Jon Favreau,,"Aksiyon,Bilim-Kurgu,Macera",2h 7m,İngilizce,"$140,000,000.00","$585,174,222.00"
Harry Potter ve Felsefe Taşı,01/02/2002 (TR),79,Chris Columbus,,"Macera,Fantastik",2h 39m,İngilizce,"$125,000,000.00","$976,475,550.00"
Şrek,22/06/2001 (TR),77,Andrew Adamson,Joe Stillman,"Animasyon,Komedi,Fantastik,Macera,Aile",1h 30m,İngilizce,"$60,000,000.00","$488,628,188.00"
Bohemian Rhapsody,02/11/2018 (TR),80,Bryan Singer,Anthony McCarten,"Müzik,Dram",2h 15m,İngilizce,"$52,000,000.00","$918,355,943.00"
,30/07/2021 (TR),75,James Gunn,James Gunn,"Aksiyon,Komedi,Macera",2h 12m,İngilizce,"$185,000,000.00","$168,717,425.00"
Black Adam,21/10/2022 (TR),69,Jaume Collet-Serra,Sohrab Noshirvani,"Aksiyon,Macera,Bilim-Kurgu",2h 5m,İngilizce,"$200,000,000.00","$393,452,111.00"
Mission: Impossible - Ölümcül Hesaplaşma Birinci Bölüm,12/07/2023 (US),76,Christopher McQuarrie,Christopher McQuarrie,"Aksiyon,Gerilim",2h 44m,İngilizce,"$291,000,000.00","$567,500,000.00"
Uzay Yolu,08/05/2009 (TR),74,J.J. Abrams,Alex Kurtzman,"Bilim-Kurgu,Aksiyon,Macera",2h 7m,İngilizce,"$150,000,000.00","$385,700,000.00"
The Woman Under the Stage,03/08/2023 (US),0,Ezekiel Decker,Ezekiel Decker,"Korku,Dram",1h 44m,İngilizce,-,-
Yenilmezler,04/05/2012 (TR),77,Joss Whedon,,"Bilim-Kurgu,Aksiyon,Macera",2h 25m,İngilizce,"$220,000,000.00","$1,518,815,515.00"
,01/06/2012 (TR),65,Ridley Scott,Jon Spaihts,"Bilim-Kurgu,Macera,Gizem",2h 4m,İngilizce,"$130,000,000.00","$403,354,469.00"
Meg 2: Çukur,04/08/2023 (US),66,Ben Wheatley,,"Aksiyon,Bilim-Kurgu,Korku",1h 56m,İngilizce,"$129,000,000.00","$384,056,482.00"
Fırlama Kızlar,19/07/1995 (US),73,Amy Heckerling,Amy Heckerling,"Komedi,Romantik,Dram",1h 50m,İngilizce,"$12,000,000.00","$56,631,572.00"
Baba,19/10/1973 (TR),87,Francis Ford Coppola,,"Dram,Suç",2h 55m,İngilizce,"$6,000,000.00","$245,066,411.00"
Testere: Jigsaw Efsanesi,03/11/2017 (TR),62,Peter Spierig,Josh Stolberg,"Korku,Gizem,Gerilim",1h 32m,İngilizce,"$10,000,000.00","$102,952,888.00"
Savaş Vadisi,25/11/2016 (TR),82,Mel Gibson,,"Dram,Tarih,Savaş",2h 19m,İngilizce,"$40,000,000.00","$175,302,354.00"
Jurassic World: Hâkimiyet,10/06/2022 (TR),67,Colin Trevorrow,,"Macera,Aksiyon,Bilim-Kurgu",2h 27m,İngilizce,"$165,000,000.00","$1,001,978,080.00"
İkizler Projesi,11/10/2019 (TR),63,Ang Lee,,"Bilim-Kurgu,Aksiyon,Gerilim",1h 57m,İngilizce,"$140,000,000.00","$173,469,516.00"
Wonder Woman 1984,25/12/2020 (US),64,Patty Jenkins,,"Aksiyon,Macera,Fantastik",2h 31m,İngilizce,"$200,000,000.00","$169,601,036.00"
The Dry,01/01/2021 (AU),68,Robert Connolly,,"Suç,Gerilim,Gizem",1h 57m,İngilizce,-,"$17,424,378.00"
Rocky IV,14/03/1986 (TR),71,Sylvester Stallone,Sylvester Stallone,Dram,1h 31m,İngilizce,"$31,000,000.00","$300,500,000.00"
